Report Date,Deaths,Injuries
2023-10-07,6,197
2023-10-08,8,127
2023-10-09,4,88
2023-10-10,5,72
2023-10-11,6,85
2023-10-12,7,49
2023-10-13,17,613
2023-10-14,3,13
2023-10-15,2,18
2023-10-16,2,23
2023-10-17,3,54
2023-10-18,4,150
2023-10-19,15,160
2023-10-20,2,88
2023-10-21,2,57
2023-10-22,8,75
2023-10-23,2,12
2023-10-24,1,9
2023-10-25,6,87
2023-10-26,2,31
2023-10-27,4,91
2023-10-28,1,31
2023-10-29,5,74
2023-10-30,7,70
2023-10-31,3,25
2023-11-01,4,29
2023-11-02,9,43
2023-11-03,7,24
2023-11-04,1,14
2023-11-05,5,21
2023-11-06,7,24
2023-11-07,2,24
2023-11-08,1,122
2023-11-09,18,94
2023-11-10,1,6
2023-11-11,2,22
2023-11-12,1,9
2023-11-13,8,27
2023-11-14,2,8
2023-11-15,0,4
2023-11-16,6,28
2023-11-17,2,14
2023-11-18,6,90
2023-11-19,2,25
2023-11-20,2,8
2023-11-21,7,16
2023-11-22,3,38
2023-11-23,2,13
2023-11-24,2,39
2023-11-25,7,46
2023-11-26,1,126
2023-11-27,0,5
2023-11-28,7,36
2023-11-29,0,13
2023-11-30,2,52
2023-12-01,0,44
2023-12-02,3,49
2023-12-03,1,3
2023-12-04,5,37
2023-12-05,1,30
2023-12-06,5,27
2023-12-07,1,35
2023-12-08,6,36
2023-12-09,3,29
2023-12-10,0,9
2023-12-11,0,5
2023-12-12,11,106
2023-12-13,0,5
2023-12-14,0,17
2023-12-15,1,9
2023-12-16,8,10
2023-12-17,1,8
2023-12-18,4,11
2023-12-19,0,20
2023-12-20,2,20
2023-12-21,0,53
2023-12-22,0,8
2023-12-23,0,1
2023-12-24,0,4
2023-12-25,0,11
2023-12-26,2,4
2023-12-27,7,16
2023-12-28,4,33
2023-12-29,2,29
2023-12-30,1,3
2023-12-31,0,27
2024-01-01,0,0
2024-01-02,4,12
2024-01-03,0,30
2024-01-04,1,5
2024-01-05,1,6
2024-01-06,7,10
2024-01-07,4,16
2024-01-08,3,16
2024-01-09,1,19
2024-01-10,1,56
2024-01-11,1,2
2024-01-12,4,3
2024-01-13,0,19
2024-01-14,5,7
2024-01-15,3,19
2024-01-16,0,16
2024-01-17,13,58
2024-01-18,0,13
2024-01-19,1,9
2024-01-20,0,5
2024-01-21,0,6
2024-01-22,1,15
2024-01-23,1,5
2024-01-24,0,4
2024-01-25,1,3
2024-01-26,1,3
2024-01-27,0,0
2024-01-28,0,5
2024-01-29,5,9
2024-01-30,3,1
2024-01-31,0,1
2024-02-01,0,7
2024-02-02,0,2
2024-02-03,0,12
2024-02-04,0,5
2024-02-05,1,2
2024-02-06,1,1
2024-02-07,3,12
2024-02-08,2,19
2024-02-09,1,6
2024-02-10,1,10
2024-02-11,1,1
2024-02-12,1,7
2024-02-13,1,3
2024-02-14,1,20
2024-02-15,0,6
2024-02-16,0,4
2024-02-17,0,2
2024-02-18,3,6
2024-02-19,0,5
2024-02-20,1,2
2024-02-21,1,1
2024-02-22,4,42
